customer_id,first_name,last_name,email,phone,address,city,state,zip_code,country,registration_date,birth_date,gender,income_bracket,is_churned,churn_date
1,Mark,Johnson,jeffreydoyle@hotmail.com,001-581-896-0013x3890,9402 Peterson Drives,Port Matthew,CO,50298,US,2023-04-13,1951-09-19,M,medium,False,
2,Heather,Cooper,blairamanda@yahoo.com,584-695-9310,16475 Mitchell Fords,Jacquelineland,PA,83728,US,2023-04-09,1956-10-12,F,high,False,
3,Joseph,Sanchez,onelson@hotmail.com,+1-335-503-0564,76724 John Points Suite 969,Coxberg,NY,65187,US,2024-01-24,1951-04-28,M,low,False,
4,Katelyn,Callahan,laurahenderson@cruz.info,648.401.8451x46270,489 Eric Track,New Stephanie,NC,00575,US,2023-10-20,1985-11-22,Other,medium,False,
5,Fred,Smith,john39@gmail.com,671-882-2782,346 Kim Path,Martinezbury,CA,44814,US,2023-09-14,1946-07-26,M,low,False,
6,Kevin,Hall,jonescrystal@jones.com,983-547-3829,3116 Henderson Mountain Apt. 106,Laurenville,IA,25613,US,2023-05-03,1958-01-29,M,medium,False,
7,Joshua,Taylor,steven17@garcia.com,432-867-7360,4746 Moore Hill,North Beth,ND,08490,US,2023-04-23,1996-01-14,M,medium,True,2023-12-14
8,Erik,Williams,brianromero@gmail.com,291-336-1939,998 Donovan Ford Suite 346,Lake Debbie,NH,41942,US,2023-08-09,1996-04-19,M,low,False,
9,Taylor,Smith,medinawilliam@mahoney.com,(442)678-4980x841,82449 Jennifer Ford,Williamview,MH,07159,US,2023-03-01,1951-06-02,F,medium,False,
10,Madison,Calderon,cookdavid@martin-ramos.biz,+1-401-812-8059,45053 Elizabeth Knoll,Dicksonberg,IA,21800,US,2023-09-10,1999-07-27,F,high,False,
11,Rita,Keith,jillcook@pham-shields.com,521-260-7337x543,5414 May Locks,Sheilaville,FM,34738,US,2023-04-27,1957-04-15,F,high,True,2023-05-27
12,Lauren,Terrell,carlsonmichael@graham-joyce.com,(793)740-6088x3561,484 Nguyen Square,Angelaborough,MT,87654,US,2023-07-18,1970-12-08,F,medium,False,
13,Michael,Orr,akelley@yahoo.com,336-699-5777x3872,34332 Brandon Mountains Apt. 769,Lake Heather,NM,52884,US,2023-03-25,1961-09-27,M,medium,False,
14,Charles,Watts,zrobinson@holmes.com,927.488.9579x868,4348 Sims Harbor Suite 143,Matthewside,CO,18637,US,2024-05-07,1955-05-26,M,high,False,
15,Crystal,Benson,perrymark@perry-clark.biz,(590)996-7054x6688,6706 Caldwell Union,Ramseymouth,PW,17229,US,2024-07-04,1987-06-25,F,medium,False,
16,Kimberly,Meadows,dayderek@white-green.com,975.256.4641,3100 James Brooks,East David,TN,15494,US,2024-06-20,1983-07-07,F,low,False,
17,Theresa,Marshall,gary91@gmail.com,619-304-9663x1931,8651 Smith Manor,Garciastad,SC,60759,US,2023-05-20,1993-04-08,F,low,True,2023-10-06
18,Brittany,Thompson,umarshall@hotmail.com,253-914-7379x965,73545 Beard Squares Suite 808,North John,MT,64539,US,2023-10-21,1982-11-30,F,low,False,
19,Peter,Vaughn,fmcguire@yahoo.com,763.849.5788,7444 David Fields Suite 182,East Joanna,KY,95473,US,2023-03-29,1985-04-04,M,low,False,
20,William,Warren,wallkenneth@yahoo.com,(640)482-4008,09477 Peterson Center Suite 711,Vasquezshire,SC,90475,US,2023-04-30,1948-10-13,M,low,False,
21,Christian,Shepherd,mcknightdavid@yahoo.com,+1-299-338-6774x964,341 John Plaza,East Aaronmouth,UT,78333,US,2023-05-22,1977-02-10,M,medium,False,
22,Doris,Hall,ojones@yahoo.com,+1-693-661-8324x2102,74648 Kim Rapid Apt. 659,Anthonybury,TX,75893,US,2023-04-29,1985-02-02,F,medium,False,
23,Trevor,Key,hinesgregory@hotmail.com,+1-374-429-6717x5655,7468 Shawn Island Suite 516,Lake Mollymouth,MT,07605,US,2023-08-18,1957-11-25,M,medium,False,
24,April,Dean,nwolf@yahoo.com,+1-424-677-1093,613 Steven Crest,South Sarah,LA,67199,US,2023-05-20,1993-02-20,Other,medium,False,
25,Denise,Davenport,stephenthomas@gmail.com,+1-982-414-6584x044,755 Gibson Islands Apt. 396,Port Kimberly,AZ,42205,US,2023-04-01,1995-10-24,F,high,True,2023-09-05
26,John,Mcintyre,ymcneil@hotmail.com,(370)928-9517,262 Terrance Greens,Cindyfurt,SD,11028,US,2023-03-28,2003-02-05,M,medium,True,2024-04-28
27,Gary,Craig,courtney78@gmail.com,+1-213-243-1611x724,45562 Amanda Port Apt. 221,Harveybury,NM,76936,US,2023-06-27,1954-11-16,M,medium,True,2024-02-08
28,David,Little,elizabeth74@hotmail.com,+1-921-675-9464,7136 Andrews Squares,Andrewfurt,KY,01562,US,2023-05-31,1983-08-25,M,low,False,
29,Sharon,Osborne,swall@lawson.com,+1-339-642-1047x0952,623 Kristin Wells Suite 884,West Robin,NJ,39185,US,2023-03-16,1995-12-09,F,low,False,
30,Seth,Brock,taylortammy@hotmail.com,001-868-751-6048x1754,370 Herman Forges,Lake Madisonport,SD,54017,US,2023-08-26,1953-01-27,M,medium,False,
31,Brenda,Shah,pwilson@hotmail.com,(367)958-6926,0537 Sampson Walk Suite 158,Bruceview,ID,16512,US,2023-05-30,2002-11-04,F,low,False,
32,Roger,Davis,williamsmatthew@buchanan.com,001-683-493-3529x04228,020 Tyler Freeway,Alfredview,AR,17115,US,2024-01-25,1995-08-11,M,low,False,
33,Jason,Wilson,xwest@wheeler.org,3849700766,15921 Joshua Roads Suite 698,Shawnchester,CT,92484,US,2024-02-05,1952-12-02,M,low,False,
34,Samuel,Curtis,ohayes@morgan-chavez.biz,001-815-365-4527x1111,80988 Santiago Loop Suite 604,Michaelshire,NY,28385,US,2023-11-15,1955-08-31,M,high,True,2024-01-05
